Material - Material Number (Key),Material - Text,Material - Material Group (Key),Material - Material Group (Text),SCHC 1 - Key,SCHC 1 - Text,Storage Location - Key (Not Compounded),Storage Location,Storage Type - Key,Storage Bin - Key,Storage Bin Type - Key (Not Compounded),Stock material - Blocked Stock (Key),Stock material - In Quality Insp. (Key),Stock material - Unrestr.-use Stock (Key),Total Stock,Material - CFSS UOI (Key),Material - CFSS UOI (Text),Technical Auth. Code - Key,Technical Auth. Code - TA Environment (Text),SMC - Key,SMC - Desc. Purch. Group (Key),GR Date - Key,Material - CFSS UOI Price (Key),Material - Lead IMA (Key),Material - Stock Type (Supply) (Key),Material - Lead IMA (Text),Material - Stock Classification (Key),Material - Stock Classification (Text),Material - DMC (Key),Material - DMC (Text),Material - Repair Code (Key),Material - Repair Code (Text),CC Physical Inventor - Key (Not Compounded),Last Inventory Date - Key,Quant - Key,Last Movement Date
00-0011430:NSN,"LIGHT,INDICATOR",6210,Indoor/Outdoor Light,#,Not assigned,3,25CFSD SERV,SHA,098R110C,6,0.000 EA,0.000 EA,38.000 EA,38,EA,each,L20E,DGLEPM,44T,(L) DLP 4-2-4-2,7/11/2014,37.80 CAD,1B,P,ITEM UNDER REVIEW FOR SURPLUS,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,4660902,4/29/2021
00-0013541:NSN,"BRACKET,BLADE ARM,B",2540,Vehicular Furniture,#,Not assigned,3,25CFSD SERV,HPA,022F230B,12,0.000 EA,0.000 EA,53.000 EA,25,EA,each,L634,DGLEPM,65R,(L) DLP 4-2-3-2,10/2/2013,168.10 CAD,1B,P,ITEM UNDER REVIEW FOR SURPLUS,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,13133,11/18/2014
00-0013541:NSN,"BRACKET,BLADE ARM,B",2540,Vehicular Furniture,#,Not assigned,3,25CFSD SERV,SHA,126J132C,6,0.000 EA,0.000 EA,53.000 EA,28,EA,each,L634,DGLEPM,65R,(L) DLP 4-2-3-2,10/2/2013,168.10 CAD,1B,P,ITEM UNDER REVIEW FOR SURPLUS,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,3593159,11/15/2018
00-0013545:NSN,"BRACKET,HYDRAULIC C",2540,Vehicular Furniture,#,Not assigned,3,25CFSD SERV,HPA,030L188B,14,0.000 EA,0.000 EA,27.000 EA,22,EA,each,L634,DGLEPM,65R,(L) DLP 4-2-3-2,10/2/2013,169.50 CAD,1B,P,ITEM UNDER REVIEW FOR SURPLUS,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,13196,10/2/2013
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
