Material_Material_Number_Key,Material_Text,Material_Material_Group_Key,Material_Material_Group_Text,SCHC_1_Key,SCHC_1_Text,Storage_Location_Key_Not_Compounded,Storage_Location,Storage_Type_Key,Storage_Bin_Key,Storage_Bin_Type_Key_Not_Compounded,Stock_material_Blocked_Stock_Key,Stock_material_In_Quality_Insp_Key,Stock_material_Unrestr_use_Stock_Key,Total_Stock,Material_CFSS_UOI_Key,Material_CFSS_UOI_Text,Technical_Auth_Code_Key,Technical_Auth_Code_TA_Environment_Text,SMC_Key,SMC_Desc_Purch_Group_Key,CC_Physical_Inventor_Key_Not_Compounded,GR_Date_Key,Last_Inventory_Date_Key,Last_Movement_Date_Key,Material_CFSS_UOI_Price_Key,Material_Lead_IMA_Key,Material_Stock_Type_Supply_Key,Material_Lead_IMA_Text,Material_Stock_Classification_Key,Material_Stock_Classification_Text,Material_DMC_Key,Material_DMC_Text,Material_Repair_Code_Key,Material_Repair_Code_Text,Material_Plant_View_Serial_No_Profile_Key,Material_Serial_No_Profile_Key,Material_Serial_No_Profile_Text,Test_Case,Status
00-0224602:NSN,,,,A,,,25CFSD SERV,,,,10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",,,,,,,,,,,,,,
00-0224602:NSN,,,,A,,,25CFSD SERV,,,,10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",,,,,,,,,,,,,,
00-0224602:NSN,,,,A,,,25CFSD SERV,,,,10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",,,,,,,,,,,,,,
00-0224602:NSN,,,,A,,,25CFSD SERV,,,,10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",,,,,,,,,,,,,,
00-0224602:NSN,,,,A,,,25CFSD SERV,,,,10.000 EA,10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",,,,,,,,,,,,,,
00-0224602:NSN,,,,A,,,25CFSD SERV,,,,10.000 EA,10.000 EA,,-1,,,3554,,,,,,,,"10,000.00 CAD",,,,,,,,,,,,,,
00-0224602:NSN,,,,A,,,25CFSD SERV,,,,10.000 EA,10.000 EA,,0,,,3554,,,,,,,,"10,000.00 CAD",,,,,,,,,,,,,,
00-0224602:NSN,,,,A,,,25CFSD SERV,,,,10.000 EA,10.000 EA,,,,,3554,,,,,,,,"10,000.00 CAD",,,,,,,,,,,,,,
00-0224602:NSN,,,,A,,,25CFSD SERV,,,,10.000 EA,10.000 EA,,0.5,,,3554,,,,,,,,"10,000.00 CAD", ,,,,,,,,,,,,,
00-0224602:NSN,,,,A,,,25CFSD SERV,,,,10.000 EA,10.000 EA,,0.6,,,3554,,,,,,,,"10,000.00 CAD",,,,,,,,,,,,,,
00-0224602:NSN,,,,A,,,25CFSD SERV,,,,10.000 EA,10.000 EA,,10,,,,,,,,,,,"10,000.00 CAD",,,,,,,,,,,,,,
00-0224602:NSN,,,,A,,,25CFSD SERV,,,,10.000 EA,10.000 EA,,10,,,,,,,,,,,"10,000.00 CAD",,,,,,,,,,,,,,
00-0224602:NSN,,,,A,,,25CFSD SERV,,,,10.000 EA,-10.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",,,,,,,,,,,,,,
00-0224602:NSN,,,,A,,,25CFSD SERV,,,,10.000 EA,0.000 EA,,10,,,3554,,,,,,,,"10,000.00 CAD",,,,,,,,,,,,,,
00-0224602:NSN,,,,A,,,25CFSD SERV,,,,10.000 EA,,,10,,,3554,,,,,,,,"10,000.00 CAD",,,,,,,,,,,,,,
