Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36
12-4092079:NSN,"SWITCH,PUSH",5930,Switches,Q,Q,000J,7 CFSD SERV,MB,262192G2B,5,0.000 EA,0.000 EA,4.000 EA,3,EA,each,L20G,DGLEPM,44V,(L) DASPM4-2-2-1-C,9/7/2022,461.20 CAD,1Z,X,NDHQ CONTROLLED ITEM,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,G,#,2832068,9/8/2022
12-4092079:NSN,"SWITCH,PUSH",5930,Switches,Q,Q,000J,7 CFSD SERV,PA,2,#,0.000 EA,0.000 EA,4.000 EA,1,EA,each,L20G,DGLEPM,44V,(L) DASPM4-2-2-1-C,9/7/2022,461.20 CAD,1Z,X,NDHQ CONTROLLED ITEM,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,G,#,2831905,9/7/2022
12-4108889:NSN,"CONNECTOR,RECEPTACLE,ELECTRICAL",5935,"Connectors, Electric",Q,Q,000J,7 CFSD SERV,MB,262191K2C,5,0.000 EA,0.000 EA,10.000 EA,10,EA,each,L20G,DGLEPM,44V,(L) DASPM4-2-2-1-C,9/7/2022,77.08 CAD,1Z,X,NDHQ CONTROLLED ITEM,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,2832070,9/8/2022
12-4110151:NSN,"PIN,STRAIGHT,HEADED",5315,Nails/Keys/Pins,Q,Q,000J,7 CFSD SERV,MB,266181M2B,4,0.000 EA,0.000 EA,100.000 EA,100,EA,each,L20G,DGLEPM,44V,(L) DASPM4-2-2-1-C,9/7/2022,13.41 CAD,1Z,X,NDHQ CONTROLLED ITEM,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,2832067,9/8/2022
12-4110174:NSN,"PIN,STRAIGHT,HEADED",5315,Nails/Keys/Pins,Q,Q,000J,7 CFSD SERV,MB,262184G1A,6,0.000 EA,0.000 EA,100.000 EA,100,EA,each,L20G,DGLEPM,44V,(L) DASPM4-2-2-1-C,9/7/2022,17.64 CAD,1Z,X,NDHQ CONTROLLED ITEM,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,2832069,9/8/2022
12-4112629:NSN,"MOTOR,DIRECT CURRENT",6105,"Motors, Electrical",Q,Q,000J,7 CFSD SERV,MA,2.06E+06,9,0.000 EA,0.000 EA,4.000 EA,4,EA,each,L20G,DGLEPM,44V,(L) DASPM4-2-2-1-C,9/7/2022,"1,173.20 CAD",1Z,X,NDHQ CONTROLLED ITEM,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,G,#,2831949,9/7/2022
12-4113425:NSN,O-RING,5331,O-Rings,Q,Q,000J,7 CFSD SERV,MB,270178F1A,5,0.000 EA,0.000 EA,100.000 EA,100,EA,each,L20G,DGLEPM,44V,(L) DASPM4-2-2-1-C,8/29/2022,1.42 CAD,1Z,X,NDHQ CONTROLLED ITEM,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,2830432,9/1/2022
12-4113956:NSN,O-RING,5331,O-Rings,Q,Q,000J,7 CFSD SERV,MB,262194K2A,6,0.000 EA,0.000 EA,100.000 EA,100,EA,each,L20G,DGLEPM,44V,(L) DASPM4-2-2-1-C,8/29/2022,1.45 CAD,1Z,X,NDHQ CONTROLLED ITEM,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,2829313,8/31/2022
12-4120425:NSN,O-RING,5331,O-Rings,Q,Q,000J,7 CFSD SERV,MB,262188K1A,5,0.000 EA,0.000 EA,100.000 EA,100,EA,each,L20G,DGLEPM,44V,(L) DASPM4-2-2-1-C,8/29/2022,10.45 CAD,1Z,X,NDHQ CONTROLLED ITEM,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,2829314,8/31/2022
12-4122767:NSN,RUBBER STRIP,9320,Rubber Fabricated Ma,Q,Q,000J,7 CFSD SERV,PS,282137G1,10,0.000 MR,0.000 MR,100.000 MR,100,EA,each,L20G,DGLEPM,44V,(L) DASPM4-2-2-1-C,8/29/2022,10.87 CAD,1Z,X,NDHQ CONTROLLED ITEM,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,2830195,9/1/2022
